"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"859" "low" "low" "<18" "<18" "<18" "<18" "open"
"860" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"861" "high" "low" "18-24" "<18" "<18" "<18" "open"
"862" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"863" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"864" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"865" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"866" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"867" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"868" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"869" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"870" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"871" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"872" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"873" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"874" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"875" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"876" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"877" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"878" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"879" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"880" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"881" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"882" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"883" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"884" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"885" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"886" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"887" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"888" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"889" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"890" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"891" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"892" "low" "high" "18-24" "18-24" ">24" ">24" "open"
"893" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"894" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"895" "low" "low" "18-24" "<18" "<18" "<18" "open"
"896" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"897" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"898" "low" "high" "<18" "18-24" ">24" ">24" "closed"
"899" "high" "high" "<18" "<18" "18-24" "<18" "closed"
"900" "high" "low" "18-24" "18-24" "<18" ">24" "open"
"901" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"902" "low" "low" "18-24" "<18" "<18" "<18" "open"
"903" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"904" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"905" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"906" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"907" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"908" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"909" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"910" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"911" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"912" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"913" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"914" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"915" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"916" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"917" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"918" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"919" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"920" "low" "low" "<18" "18-24" ">24" ">24" "closed"
"921" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"922" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"923" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"924" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"925" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"926" "low" "high" "18-24" "18-24" ">24" "18-24" "closed"
"927" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"928" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"929" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"930" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"931" "low" "low" "18-24" "<18" "<18" "<18" "open"
"932" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"933" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"934" "high" "high" "18-24" ">24" "<18" "18-24" "closed"
"935" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"936" "low" "low" ">24" "18-24" "<18" "<18" "open"
"937" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"938" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"939" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"940" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"941" "high" "high" "<18" "<18" "<18" "<18" "closed"
"942" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"943" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"944" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"945" "low" "high" "18-24" "18-24" "18-24" ">24" "open"
"946" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"947" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"948" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"949" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"950" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"951" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"952" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"953" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"954" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"955" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"956" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"957" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"958" "high" "high" "18-24" "18-24" ">24" "18-24" "open"
"959" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"960" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"961" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"962" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"963" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"964" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"965" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"966" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"967" "low" "high" "<18" "<18" "<18" "<18" "open"
"968" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"969" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"970" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"971" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"972" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"973" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"974" "low" "low" "<18" "<18" "18-24" "<18" "closed"
"975" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"976" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"977" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"978" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"979" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"980" "low" "low" "<18" "18-24" "<18" "18-24" "open"
"981" "low" "low" "18-24" "<18" "18-24" "<18" "closed"
"982" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"983" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"984" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"985" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"986" "low" "low" ">24" ">24" ">24" ">24" "closed"
"987" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"988" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"989" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"990" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"991" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"992" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"993" "high" "low" "18-24" "<18" "<18" "<18" "open"
"994" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"995" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"996" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"997" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"998" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"999" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"1000" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1001" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1002" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1003" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1004" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1005" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1006" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1007" "low" "low" ">24" ">24" ">24" ">24" "closed"
"1008" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1009" "low" "low" "<18" "18-24" "<18" "18-24" "closed"
"1010" "low" "low" "18-24" "18-24" "<18" ">24" "open"
"1011" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"1012" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1013" "low" "low" ">24" ">24" "18-24" "<18" "closed"
"1014" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1015" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1016" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1017" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1018" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1019" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1020" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1021" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1022" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1023" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1024" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1025" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1026" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1027" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1028" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1029" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1030" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1031" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1032" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1033" "high" "high" "<18" "18-24" ">24" ">24" "closed"
"1034" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1035" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1036" "high" "low" "18-24" ">24" ">24" ">24" "open"
"1037" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1038" "low" "low" "<18" "18-24" "<18" "<18" "closed"
"1039" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1040" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1041" "high" "low" "<18" "<18" "18-24" "18-24" "open"
"1042" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1043" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1044" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"1045" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1046" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1047" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1048" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1049" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1050" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1051" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1052" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1053" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"1054" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1055" "low" "low" ">24" ">24" ">24" ">24" "closed"
"1056" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1057" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1058" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1059" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1060" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1061" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1062" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1063" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1064" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1065" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1066" "low" "low" "<18" "<18" "<18" "<18" "open"
"1067" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1068" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"1069" "low" "low" "<18" "<18" "18-24" "<18" "closed"
"1070" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"1071" "high" "low" "18-24" ">24" ">24" ">24" "closed"
"1072" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"1073" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1074" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1075" "low" "low" "<18" "<18" "<18" "18-24" "closed"
"1076" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1077" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1078" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1079" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1080" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1081" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1082" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"1083" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"1084" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1085" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1086" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1087" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1088" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1089" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1090" "low" "low" "18-24" "18-24" "<18" ">24" "open"
"1091" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1092" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1093" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1094" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1095" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1096" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1097" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1098" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1099" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"1100" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1101" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1102" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1103" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1104" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1105" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1106" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1107" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1108" "high" "high" "<18" "18-24" "<18" "18-24" "closed"
"1109" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1110" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1111" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1112" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1113" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1114" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1115" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1116" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1117" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1118" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1119" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1120" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1121" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1122" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1123" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1124" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"1125" "high" "high" "18-24" "<18" "<18" "<18" "open"
"1126" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1127" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1128" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1129" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1130" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1131" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1132" "low" "low" "<18" "<18" "18-24" "<18" "closed"
"1133" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1134" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1135" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1136" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1137" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1138" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1139" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1140" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1141" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1142" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1143" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1144" "high" "low" ">24" ">24" "18-24" "18-24" "closed"
"1145" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"1146" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1147" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1148" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"1149" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1150" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1151" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1152" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"1153" "high" "high" "<18" "18-24" ">24" "18-24" "open"
"1154" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1155" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1156" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1157" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1158" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1159" "low" "high" ">24" ">24" ">24" ">24" "closed"
"1160" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1161" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1162" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1163" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1164" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1165" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1166" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1167" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1168" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1169" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1170" "low" "high" "<18" "<18" "<18" "<18" "closed"
"1171" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1172" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1173" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1174" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1175" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1176" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1177" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1178" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1179" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1180" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1181" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1182" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1183" "high" "low" "<18" "<18" "<18" "<18" "open"
"1184" "high" "high" ">24" ">24" "18-24" ">24" "closed"
"1185" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1186" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1187" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1188" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1189" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1190" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1191" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1192" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1193" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1194" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1195" "low" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1196" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1197" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"1198" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1199" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1200" "low" "low" "18-24" "<18" "<18" "<18" "closed"
"1201" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1202" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1203" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1204" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1205" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1206" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1207" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1208" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1209" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"1210" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1211" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1212" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1213" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1214" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1215" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1216" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"1217" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"1218" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1219" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1220" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"1221" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1222" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1223" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1224" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1225" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1226" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1227" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1228" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1229" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1230" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1231" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"1232" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1233" "high" "low" ">24" "18-24" "<18" "<18" "open"
"1234" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1235" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1236" "high" "low" "<18" ">24" "18-24" "18-24" "closed"
"1237" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"1238" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"1239" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1240" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1241" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1242" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1243" "high" "low" ">24" ">24" "18-24" "<18" "closed"
"1244" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1245" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1246" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1247" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1248" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1249" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1250" "low" "high" ">24" ">24" "18-24" "18-24" "closed"
"1251" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1252" "high" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1253" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1254" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1255" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1256" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1257" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1258" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1259" "high" "high" "18-24" "18-24" ">24" "18-24" "open"
"1260" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1261" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1262" "low" "low" "<18" "<18" "<18" "<18" "closed"
"1263" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1264" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1265" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1266" "high" "high" "18-24" "18-24" ">24" "18-24" "open"
"1267" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1268" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"1269" "high" "high" "<18" ">24" "18-24" "18-24" "closed"
"1270" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1271" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1272" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1273" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1274" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1275" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1276" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1277" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1278" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1279" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1280" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
